id,location,weapon,time,description,crime_type,latitude,longitude
CR001,Srinagar,knife,night,A man was stabbed outside his home.,assault,34.0747444,74.8204443
CR002,Baramulla,gun,day,Shots were fired at a crowded market.,firearm assault,34.2086903,74.343498
CR003,Anantnag,blunt object,night,Someone was attacked with a rod during a break-in.,home invasion,33.74611,75.1854475
CR004,"Pampore, Pulwama","AK-47 rifles, grenades",day,"Lashkar-e-Taiba militants attacked a CRPF convoy near Pampore on Feb 20, 2016; a 48-hour stand-off ensued, ending with all 4 militants killed. 5 security personnel (3 Army SF, 2 CRPF) and 1 civilian were killed",terrorism,34.01092,74.91303
CR005,"Uri, Baramulla","grenades, AK-47 rifles",day,"Four militants attacked an Indian Army brigade headquarters in Uri on Sep 18, 2016 (pre-dawn); 19 soldiers were killed and 19–30 injured",terrorism,34.0875109,73.9745921
CR006,"Nagrota, Jammu","AK-47 rifles, grenades",day,"Three militants in police uniforms attacked the 166 Field Regiment in Nagrota on Nov 29, 2016 (morning); 7 Indian soldiers (including 2 officers) and all 3 attackers were killed",terrorism,32.7908465,74.9047599
CR007,"Sunjuwan, Jammu","grenades, firearms",night,"Three Jaish-e-Mohammed terrorists attacked the Sunjuwan Military Station in Jammu on Feb 10, 2018 (predawn); 6 soldiers and 1 civilian were killed, and 20 wounded",terrorism,,
CR008,"Rasana, Kathua",unknown,day,"8-year-old Asifa Bano was abducted, gang-raped and murdered in Rasana village (Kathua) on Jan 10–17, 2018",rape,,
CR009,Shopian district,firearms,day,"Ex-SPO Basharat Ahmad Wagay was kidnapped from his home and found bullet-riddled dead in Shopian on Nov 23–24, 2018",kidnapping,33.7207837,74.7714244
CR010,"Kapran, Shopian",firearms,day,"Three special police officers were kidnapped from their homes in Kapran (Shopian) on Sep 20, 2018 and found shot dead hours later in an orchard",kidnapping,,
CR011,"Mirgund, Bandipora",unknown,day,A 3-year-old girl was raped by Tahir Ahmad Mir in Mirgund village (Bandipora) in May 2019; the accused was arrested and charged,rape,,
CR012,"Lethpora, Pulwama",VBIED (suicide car bomb),day,"Suicide car bomb attack on a CRPF convoy at Lethpora (Pulwama) on Feb 14, 2019; 40 CRPF soldiers were killed",terrorism,33.9690946,74.9923752
CR013,Rajouri (Dhangri village),"firearms, IED",day,"Terrorists attacked homes in Dhangri village (Rajouri) on Jan 1, 2023; 7 people (including 2 children) were killed (4 by gunfire on Jan 1, 2 by an IED on Jan 2)",terrorism,,
CR014,Teryath (Reasi),M4 carbines,day,"Terrorists ambushed a pilgrim bus near Teryath (Reasi) on Jun 9, 2024; 9 people (including a 2-year-old and a 14-year-old) were killed and 41 injured",terrorism,,
CR015,"Baisaran Valley, Pahalgam","M4 carbines, AK-47 rifles",day,"Five terrorists attacked tourists in Baisaran Valley (Pahalgam) on Apr 22, 2025; 26 civilians (mostly Hindu pilgrims) were killed",terrorism,,
CR016,"Basantgarh, Udhampur",firearms,day,"One terrorist was killed in an Army-J&K Police operation at Basantgarh (Udhampur) on Jun 26, 2025",terrorism,32.8105476,75.5514632
CR017,"Bakshi Nagar, Jammu",none,day,"A man caught stealing ?40,000 while buying medicine was paraded by police in Bakshi Nagar (Jammu) on Jun 24, 2025",theft,32.7359858,74.8572137
